XR_002498777	LOC110674347
XR_002499125	LOC110674719
XM_021838781	LOC5566218
XM_001650571	LOC5566218
XM_001650570	LOC5566217
XM_001650569	LOC5566213
XM_021838782	LOC5566213
XM_021838784	LOC5566229
XM_021838783	LOC5566229
XR_002498780	LOC110674349
XR_002498779	LOC110674349
XR_002498781	LOC110674350
XM_001650566	LOC5566228
XM_001650567	LOC5566228
XM_001650564	LOC5566227
XR_002499126	LOC110674721
XM_021838787	LOC5566238
XM_021838788	LOC5574533
XM_021838789	LOC5574532
XM_001655133	LOC5574530
XM_001655132	LOC5574529
XM_001655131	LOC5574529
XR_002499127	LOC110674722
XM_001655130	LOC5574528
XR_002499128	LOC110674723
XR_002499130	LOC110674724
XR_002499129	LOC110674724
XM_001655129	LOC5574527
XM_001655127	LOC5574525
XR_002499131	LOC110674725
XM_001655126	LOC5574526
XM_001655125	LOC5574526
XM_021853386	LOC110679230
XR_002498782	LOC110674351
XR_002499133	LOC110674726
XR_002499132	LOC110674726
XM_001655123	LOC5574522
XM_001655122	LOC5574521
XM_021838793	LOC5574523
XR_002499134	LOC110674727
XM_021838794	LOC5572380
XM_001660287	LOC5572374
XM_001660288	LOC5572374
XM_001660286	LOC5572375
XM_001660285	LOC5572376
XM_001660284	LOC5572377
XM_001660283	LOC5572378
XM_021838796	LOC5572379
XM_021838801	LOC5572036
XM_021838800	LOC5572036
XM_021838797	LOC5572036
XM_021838798	LOC5572036
XM_021838799	LOC5572036
XM_021838805	LOC5572033
XM_021838802	LOC5572033
XM_021838804	LOC5572033
XM_001660089	LOC5572032
XM_021838808	LOC23687408
XM_021838806	LOC23687408
XM_021838810	LOC23687408
XM_021838807	LOC23687408
XM_021838809	LOC23687408
XM_021838811	LOC23687408
XM_021838812	LOC23687408
XM_021838814	LOC23687408
XM_021838813	LOC23687408
XM_021838815	LOC23687408
XM_021838816	LOC23687408
XM_021838821	LOC23687408
XM_021838819	LOC23687408
XM_021838817	LOC23687408
XM_021838820	LOC23687408
XM_001660086	LOC5572031
XM_001660085	LOC5572030
XR_002499135	LOC110674728
XM_021838824	LOC5572028
XM_001660084	LOC5572028
XM_021838822	LOC5572028
XM_021838823	LOC5572028
XM_021838826	LOC5572028
XM_021838825	LOC5572028
XR_002499137	LOC110674730
XR_002499136	LOC110674729
XM_021838830	LOC5572026
XM_001660082	LOC5572026
XM_021838828	LOC5572026
XM_021838829	LOC5572026
XM_021838831	LOC5572026
XM_021838833	LOC5572025
XM_001660081	LOC5572025
XM_001660080	LOC5572024
XM_001660079	LOC5572023
XM_001660078	LOC5572017
XM_001660077	LOC5572018
XM_021838834	LOC5572019
XR_002498783	LOC110674352
XM_001660075	LOC5572020
XR_002498784	LOC110674353
XM_021838835	LOC5572022
XM_001660072	LOC5572012
XM_021838840	LOC110674731
XM_021838839	LOC110674731
XM_021838841	LOC110674731
XM_021838838	LOC110674731
XM_021838642	LOC110674354
XM_001650984	LOC5579813
XR_002499138	LOC5579815
XM_001650986	LOC5579817
XM_001650987	LOC5579811
XR_002499139	LOC5579810
XR_002499140	LOC5579810
XR_002499142	LOC5579810
XR_002499141	LOC5579810
XM_021838843	LOC5579810
XM_001650992	LOC5579810
XM_001650991	LOC5579810
XM_021838844	LOC5579810
XM_021838846	LOC5579809
XM_001650995	LOC5579809
XR_002499143	LOC110674732
XM_001650996	LOC5579816
XM_021838847	LOC5579819
XM_011494982	LOC5579819
XM_001650999	LOC5579819
XR_002499145	LOC110674733
XR_002499144	LOC110674733
XM_021838848	LOC5579818
XM_021838850	LOC5579820
XM_001651001	LOC5579820
XM_001651003	LOC5579822
XM_021838852	LOC5579823
XM_021838851	LOC5579823
XM_021838861	LOC5579824
XM_021838863	LOC5579824
XM_021838853	LOC5579824
XM_021838857	LOC5579824
XM_021838862	LOC5579824
XM_021838859	LOC5579824
XM_021838854	LOC5579824
XM_021838855	LOC5579824
XM_021838860	LOC5579824
XM_021838858	LOC5579824
XR_002499146	LOC110674734
XR_002498785	LOC110674355
XM_021855305	LOC110679702
XR_002498786	LOC5572467
XM_021838864	LOC5579825
XM_021838868	LOC5579825
XM_021838867	LOC5579825
XM_021838866	LOC5579825
XM_021838869	LOC5579825
XM_021838870	LOC110674735
XM_001651008	LOC5579827
XR_002499148	LOC110674736
XR_002499147	LOC110674736
XM_021838878	LOC5574316
XM_021838876	LOC5574316
XM_021838877	LOC5574316
XM_001661298	LOC5574316
XM_021838873	LOC5574316
XM_021838872	LOC5574316
XM_021838875	LOC5574316
XM_021838874	LOC5574316
XM_021838871	LOC5574316
XR_002499150	LOC110674738
XM_021838880	LOC5574317
XM_021838879	LOC5574317
XM_021838881	LOC5574317
XM_021838884	LOC5574322
XM_021838882	LOC5574322
XM_001661302	LOC5574322
XR_002499151	LOC110674740
XM_021838888	LOC5566531
XM_021838885	LOC5566531
XM_021838886	LOC5566531
XM_021838889	LOC5566531
XM_021838887	LOC5566531
XR_002499152	LOC110674741
XM_021838894	LOC5574321
XM_021838893	LOC5574321
XM_021838892	LOC5574321
XM_021838890	LOC5574321
XM_021838891	LOC5574321
XM_021838895	LOC5578495
XM_021838896	LOC5578495
XM_021838897	LOC5574324
XR_002499153	LOC110674742
XM_001661307	LOC5574326
XM_021838898	LOC5574326
XM_021838902	LOC5574326
XM_021838900	LOC5574326
XM_021838899	LOC5574326
XM_021838903	LOC5574326
XM_021838901	LOC5574326
XR_002499154	LOC110674743
XM_021838904	LOC5565125
XM_021838905	LOC5565125
XM_021838909	LOC5574328
XM_021838924	LOC5574328
XM_021838930	LOC5574328
XM_021838929	LOC5574328
XM_021838925	LOC5574328
XM_021838927	LOC5574328
XM_021838923	LOC5574328
XM_021838922	LOC5574328
XM_021838931	LOC5574328
XM_021838926	LOC5574328
XM_021838921	LOC5574328
XM_021838907	LOC5574328
XM_021838920	LOC5574328
XM_021838914	LOC5574328
XM_021838918	LOC5574328
XM_021838913	LOC5574328
XM_021838912	LOC5574328
XM_021838910	LOC5574328
XM_021838911	LOC5574328
XM_021838908	LOC5574328
XM_021838919	LOC5574328
XM_021838915	LOC5574328
XM_021838916	LOC5574328
XM_021838937	LOC5574328
XM_021838936	LOC5574328
XM_021838934	LOC5574328
XM_021838935	LOC5574328
XM_021838933	LOC5574328
XM_021838932	LOC5574328
XM_001661314	LOC5574331
XM_021838939	LOC5574332
XM_021838942	LOC5574332
XM_021838940	LOC5574332
XM_021838943	LOC5574332
XM_021838941	LOC5574332
XR_002498787	LOC110674356
XM_001648559	LOC5564257
XM_021838944	LOC5564251
XM_001658500	LOC5569465
XM_021856486	LOC110680692
XR_002498788	LOC110674357
XM_021838946	LOC5569464
XM_001658501	LOC5569464
XM_021838948	LOC5569466
XM_021838950	LOC5569466
XM_021838951	LOC5569466
XM_021838949	LOC5569466
XM_001658502	LOC5569466
XM_021838954	LOC5569466
XM_021838957	LOC5569466
XM_021838956	LOC5569466
XM_021838955	LOC5569466
XM_021838952	LOC5569466
XM_001658503	LOC5569467
XM_021838958	LOC110674744
XM_021838963	LOC110674745
XM_021838960	LOC110674745
XM_021838959	LOC110674745
XM_021838961	LOC110674745
XM_001658504	LOC5569469
XR_002498789	LOC110674358
XM_021838967	LOC5569470
XM_021838965	LOC5569470
XM_021838966	LOC5569470
XM_021838964	LOC5569470
XR_002499155	LOC110674746
XM_001658506	LOC5569471
XM_001658507	LOC5569472
XM_021838969	LOC5579472
XM_021838973	LOC23687935
XM_021838979	LOC23687935
XM_021838978	LOC23687935
XM_021838975	LOC23687935
XM_021838976	LOC23687935
XM_021838974	LOC23687935
XM_021838970	LOC23687935
XM_021838971	LOC23687935
XM_021838972	LOC23687935
XR_002499156	LOC110674747
XM_001658509	LOC5569473
XM_001658510	LOC5569474
XR_002499157	LOC5569475
XM_021838993	LOC5569475
XM_021838995	LOC5569475
XM_021838992	LOC5569475
XM_021838991	LOC5569475
XM_021838989	LOC5569475
XM_021838990	LOC5569475
XM_021838996	LOC5569475
XM_021838997	LOC5569475
XM_021838987	LOC5569475
XM_021838985	LOC5569475
XM_021838981	LOC5569475
XM_021838982	LOC5569475
XM_021838984	LOC5569475
XM_021838986	LOC5569475
XM_021838980	LOC5569475
XM_021838988	LOC5569475
XM_021838998	LOC5569475
XM_021839000	LOC5569475
XM_021838999	LOC5569475
XM_001658512	LOC5569476
XM_001658513	LOC5569477
XR_002498790	LOC110674359
XM_021839002	LOC5569478
XR_002499158	LOC110674748
XM_021856646	LOC110680850
XM_001661522	LOC5574649
XM_021839003	LOC110674749
XR_002499159	LOC110674750
XM_001661521	LOC5574647
XM_001661520	LOC5574648
XR_002499160	LOC110674751
XM_021839005	LOC5574653
XM_001661519	LOC5574653
XR_002499161	LOC110674752
XM_001661517	LOC5574652
XM_001662276	LOC5575967
XR_002498791	LOC110674360
XM_021839006	LOC5575968
XR_002498792	LOC110674361
XM_021839009	LOC5564255
XM_021839010	LOC5564255
XM_021839012	LOC5564255
XM_021839008	LOC5564255
XM_021839011	LOC5564255
XM_021839014	LOC5564255
XM_021839013	LOC5564255
XR_002499162	LOC110674753
XM_001648550	LOC5564249
XM_001648551	LOC5564262
XM_001648552	LOC5564261
XR_002499163	LOC110674754
XR_002499166	LOC5564259
XR_002499164	LOC5564259
XR_002499165	LOC5564259
XM_001648555	LOC5564218
XM_021839017	LOC5564252
XM_001648557	LOC5564219
XM_021839016	LOC5564219
XM_021839018	LOC110674755
XM_021856963	LOC110681184
XM_001655244	LOC5574715
XM_021839021	LOC5574714
XM_021839019	LOC5574714
XM_021839020	LOC5574714
XM_021839023	LOC5574714
XM_021839022	LOC5574714
XM_021839024	LOC110674757
XM_021839026	LOC5574713
XM_021839025	LOC5574713
XM_021839027	LOC5574713
XR_002499170	LOC110674759
XR_002499169	LOC110674758
XR_002498793	LOC110674362
XR_002498794	LOC110674362
XM_001655247	LOC5574717
XM_001655248	LOC5574718
XM_021839028	LOC5574719
XR_002499171	LOC5574716
XM_001655250	LOC5574716
XM_001655252	LOC5574720
XM_021839029	LOC5574724
XM_021839030	LOC5574724
XM_001655255	LOC5574723
XM_021839031	LOC110674760
XM_021839032	LOC5578809
XR_002499172	LOC110674762
XM_021839033	LOC5565491
XM_021839035	LOC5567316
XM_001649786	LOC5565507
XM_021839036	LOC110674763
XM_001650744	LOC5566402
XM_001650745	LOC5566403
XR_002498795	LOC110674363
XM_021857468	LOC5565007
XM_001656659	LOC5577924
XM_021857528	LOC5565008
XM_001656661	LOC5577926
XM_001656662	LOC5577927
XM_021838644	LOC5577928
XM_021857556	LOC110681531
XM_021857559	LOC110681533
XM_021857585	LOC110681543
XM_021857602	LOC110681551
XM_001656664	LOC5577929
XM_011495420	LOC23687389
XM_021839037	LOC5577930
XM_021839039	LOC5577930
XM_021839040	LOC5577930
XR_002499173	LOC110674764
XM_021839041	LOC5578729
XM_021839042	LOC5578727
XM_001663979	LOC5578727
XM_001663980	LOC5578730
XM_021839046	LOC5578730
XR_002499174	LOC5578728
XM_021839047	LOC5578728
XM_021839044	LOC110674765
XM_021839043	LOC110674765
XM_021839049	LOC110674766
XM_021839048	LOC110674766
XM_021839050	LOC5578732
XM_021839051	LOC5578732
XM_001663983	LOC5578731
XM_021839053	LOC5576693
XM_021839054	LOC5576693
XM_021839055	LOC5576693
XR_002499175	LOC110674767
XR_002499176	LOC110674768
XR_002499177	LOC110674769
XM_001648140	LOC5563879
XM_001648141	LOC5563880
XR_002499178	LOC110674770
XM_021839057	LOC5576694
XM_021839058	LOC5576694
XM_021839059	LOC110674771
XM_021838645	LOC5570403
XR_002499179	LOC110674772
XR_002499180	LOC110674772
XM_021839060	LOC110674772
XM_021839061	LOC110674772
XM_021839062	LOC110674772
XM_021839063	LOC110674772
XR_002499181	LOC110674774
XM_021839064	LOC110674775
XR_002499182	LOC5570402
XR_002499183	LOC5570402
XM_021839068	LOC5568128
XM_021839066	LOC5568128
XM_021839069	LOC5568128
XM_021839067	LOC5568128
XM_021837247	LOC5565478
XM_021839070	LOC110674776
XR_002499184	LOC110674777
XR_002499186	LOC110674778
XR_002499185	LOC110674778
XM_021839073	LOC23687941
XM_021839071	LOC23687941
XR_002499187	LOC110674779
XM_021839074	LOC5570400
XR_002498796	LOC110674364
XR_002498797	LOC110674365
XM_021839083	LOC5570397
XM_021839081	LOC5570397
XM_021839080	LOC5570397
XM_021839078	LOC5570397
XM_021839082	LOC5570397
XM_021839079	LOC5570397
XM_021839075	LOC5570397
XM_021839077	LOC5570397
XM_021839076	LOC5570397
XM_021839084	LOC5570397
XM_021838646	LOC110674366
XM_001649015	LOC5564724
XM_021838647	LOC110674367
XR_002498798	LOC110674368
XR_002499188	LOC110674780
XR_002499189	LOC5564728
XM_021839086	LOC5564728
XM_021839085	LOC5564728
XM_021839087	LOC5576541
XM_021839088	LOC5576541
XM_021839089	LOC5576541
XR_002499190	LOC110674781
XR_002499191	LOC110674782
XR_002499192	LOC5576537
XM_001647574	LOC5579316
XM_021839103	LOC5576540
XM_021839099	LOC5576540
XM_021839092	LOC5576540
XM_021839104	LOC5576540
XM_021839102	LOC5576540
XM_021839101	LOC5576540
XM_021839100	LOC5576540
XM_021839098	LOC5576540
XM_021839097	LOC5576540
XM_021839096	LOC5576540
XM_021839095	LOC5576540
XM_021839094	LOC5576540
XM_021839093	LOC5576540
XM_021839091	LOC5576540
XM_021839090	LOC5576540
XM_021839105	LOC5576535
XM_021839106	LOC5576535
XM_021839107	LOC5576542
XR_002499195	LOC110674784
XR_002499194	LOC110674784
XR_002499196	LOC110674784
XM_021839109	LOC5576538
XM_021839110	LOC5576538
XM_021839118	LOC5564091
XM_021839113	LOC5564091
XM_021839115	LOC5564091
XM_021839114	LOC5564091
XM_021839117	LOC5564091
XM_021839112	LOC5564091
XM_021839111	LOC5564091
XM_021839119	LOC5575945
XR_002499197	LOC110674787
XM_021839123	LOC110674786
XM_021839120	LOC110674785
XM_021839121	LOC5575946
XM_021839122	LOC5575944
XR_002499198	LOC110674788
XR_002498799	LOC110674369
XR_002498800	LOC110674370
XM_021839124	LOC110674789
XM_021838649	LOC110674371
XM_021839127	LOC5567111
XM_021839125	LOC5567111
XM_021839126	LOC5567111
XR_002499199	LOC110674790
XM_021839128	LOC5567109
XM_001651439	LOC5567109
XM_001647669	LOC5579417
XM_001651438	LOC5567112
XM_001651437	LOC5567108
XM_001651436	LOC5567097
XM_021839129	LOC5567097
XM_021839130	LOC110674792
XR_002499200	LOC110674793
XR_002499201	LOC5567107
XM_001651435	LOC5567107
XR_002499202	LOC5564702
XM_021839132	LOC5564702
XM_021839133	LOC5572314
XM_021839134	LOC5572314
XM_021839135	LOC5572314
XM_021839136	LOC5579242
XM_001651175	LOC5566818
XM_021837319	LOC5566180
XM_001651177	LOC5566819
XM_001650500	LOC5566178
XM_021839137	LOC5566179
XM_021839138	LOC5577042
XM_001663088	LOC5577042
XM_021839140	LOC5577042
XM_021839139	LOC5577042
XR_002498801	LOC110674372
XR_002498802	LOC110674373
XR_002498803	LOC110674374
XM_021839141	LOC5577043
XM_021839143	LOC5574750
XM_021839142	LOC5574750
XM_001663091	LOC5577045
XM_021839144	LOC5577047
XM_021839147	LOC5574747
XM_021839148	LOC5574747
XM_021839149	LOC5574747
XM_021839151	LOC5574747
XM_021839150	LOC5574747
XM_021839145	LOC110674794
XM_021839146	LOC110674794
XM_021839152	LOC5565087
XM_001649377	LOC5565087
XM_021839154	LOC110674796
XM_021839153	LOC110674795
XM_001649378	LOC5565084
XM_021839155	LOC110674797
XM_001649379	LOC5565085
XR_002498804	LOC110674375
XM_021839157	LOC5578389
XR_002498805	LOC110674376
XM_021839159	LOC5578387
XM_021839160	LOC5578387
XM_021839161	LOC5578387
XM_021839164	LOC5578387
XM_021839162	LOC5578387
XM_001661814	LOC5575260
XM_001661813	LOC5575262
XM_021839158	LOC5575262
XM_001661810	LOC5575264
XM_021839165	LOC5575265
XM_021839167	LOC5575265
XM_021839169	LOC5575265
XM_021839168	LOC5575265
XM_021839166	LOC5575265
XM_001661808	LOC5575266
XM_001648586	LOC5564286
XR_002499203	LOC5575434
XM_021839170	LOC5566787
XR_002499204	LOC110674799
XR_002499205	LOC110674800
XR_002499206	LOC5565679
XR_002499207	LOC5565679
XM_021839172	LOC5565679
XM_021839171	LOC5565679
XM_021839175	LOC5565679
XM_021839174	LOC5565679
XM_021839173	LOC5565679
XM_021839176	LOC5575256
XR_002499208	LOC110674801
XM_021839177	LOC5567841
XM_021839178	LOC5567841
XM_021839180	LOC5564667
XM_021839179	LOC5564667
XM_021839181	LOC5564669
XM_021839182	LOC5564668
XM_001661391	LOC5574426
XR_002499209	LOC110674803
XM_021839183	LOC110674802
XM_021839184	LOC110674802
XM_001653056	LOC5570126
XM_001653057	LOC5570128
XM_021839186	LOC5570125
XM_021839187	LOC5570125
XM_001657657	LOC5567849
XM_001654770	LOC5580061
XM_021838650	LOC110674377
XM_001654769	LOC5580063
XM_001654768	LOC5580072
XM_001654767	LOC5580053
XR_002499210	LOC110674804
XR_002499211	LOC110674805
XM_021839188	LOC5580057
XM_001654765	LOC5580057
XR_002499217	LOC110674808
XR_002499215	LOC110674807
XR_002499214	LOC110674807
XR_002499213	LOC110674806
XR_002499212	LOC110674806
XM_001654764	LOC5580073
XR_002498807	LOC110674378
XM_001654762	LOC5580071
XM_021839189	LOC5580067
XM_001654760	LOC5580065
XM_001654759	LOC5580052
XM_021839191	LOC5580052
XM_001654758	LOC5580062
XM_001654757	LOC5580066
XM_001654756	LOC5580068
XR_002499218	LOC110674809
XR_002498808	LOC110674379
XM_021839192	LOC5574208
XM_021839194	LOC5574208
XM_021839193	LOC5574208
XR_002499219	LOC110674810
XM_021839195	LOC5574207
XM_021839198	LOC5574207
XM_021839197	LOC5574207
XM_021839199	LOC5574207
XM_021839201	LOC5574207
XM_021839200	LOC5574207
XR_002499220	LOC110674811
XR_002498809	LOC110674380
XM_021839202	LOC5564914
XR_002499221	LOC5564917
XM_021839203	LOC5564917
XR_002498810	LOC110674381
XM_021838652	LOC5564915
XM_001649211	LOC5564916
XR_002499222	LOC110674812
XM_021839204	LOC5564913
XM_001650697	LOC5566360
XM_021839205	LOC5566361
XM_021839206	LOC110674813
XM_021839207	LOC110674813
XR_002499223	LOC110674814
XM_021839208	LOC5578710
XM_021839210	LOC5578710
XM_021839209	LOC5578710
XM_021839211	LOC5578710
XM_021839216	LOC23687811
XM_021839217	LOC23687811
XM_021839215	LOC23687811
XM_021839214	LOC23687811
XM_021839213	LOC23687811
XM_021839212	LOC23687811
XM_011495105	LOC23687811
XM_021839218	LOC5578281
XM_021839221	LOC5578281
XM_021839219	LOC5578281
XM_021839220	LOC5578281
XM_021839224	LOC5569245
XM_021839231	LOC5569245
XM_021839226	LOC5569245
XM_021839227	LOC5569245
XM_021839222	LOC5569245
XM_021839223	LOC5569245
XM_021839228	LOC5569245
XM_021839229	LOC5569245
XM_021839230	LOC5569245
XM_021839233	LOC110674815
XM_021839232	LOC110674815
XR_002499224	LOC110674816
XM_021839236	LOC5569249
XM_021839235	LOC5569249
XM_021839238	LOC5573724
XM_021839237	LOC5573724
XM_021839239	LOC5573724
XM_021839240	LOC5573724
XM_001660985	LOC5573728
XM_021839241	LOC5573728
XM_021839242	LOC5573728
XR_002499225	LOC110674817
XM_021839245	LOC5573727
XM_021839244	LOC5573727
XM_021839246	LOC110674818
XM_021837517	LOC110674071
XM_021839247	LOC5566204
XM_021839248	LOC5566204
XM_001657932	LOC5568331
XM_021839249	LOC5568331
XM_001657933	LOC5568331
XM_021839251	LOC5568331
XM_001657934	LOC5568329
XM_021839253	LOC5568329
XM_021839252	LOC5568329
XM_021839254	LOC5568334
XR_002498811	LOC5565163
XM_001649429	LOC5565132
XM_001657936	LOC5568330
XM_021839256	LOC5568333
XM_021839257	LOC5568333
XR_002498812	LOC5570518
XR_002498813	LOC110674383
XM_001659155	LOC5570517
XM_021839259	LOC5568336
XM_021839258	LOC5568336
XM_021839260	LOC5568336
XR_002499226	LOC110674819
XR_002499227	LOC110674820
XM_021839261	LOC5564956
XM_021839264	LOC110674822
XM_021839266	LOC110674822
XM_001659158	LOC5570528
XM_021839262	LOC110674821
XM_021839263	LOC110674821
XM_021839267	LOC5564957
XM_021839268	LOC5564957
XM_021839269	LOC5565989
XM_021839270	LOC110674823
XM_021839271	LOC5564571
XM_021839272	LOC5564571
XM_021839273	LOC5564571
XM_021839274	LOC5564571
XM_021839275	LOC5564571
XM_021839276	LOC5564571
XM_021839277	LOC110674824
XM_021839278	LOC5565131
XM_021839279	LOC5571385
XM_001659617	LOC5571386
XM_021839280	LOC5571381
XM_011494709	LOC23687501
XM_021839281	LOC5564076
XR_002499228	LOC110674825
XM_001662643	LOC5576501
XM_021839283	LOC5576501
XM_021839282	LOC5576501
XM_001661387	LOC5574419
XM_001662642	LOC5576500
XR_002499229	LOC110674826
XM_021839286	LOC5576498
XM_021839284	LOC5576498
XM_021839285	LOC5576498
XM_021839288	LOC5576498
XM_021839287	LOC5576498
XM_021839290	LOC110674827
XM_021839291	LOC110674827
XM_021839289	LOC110674827
XR_002499230	LOC110674828
XR_002499231	LOC110674829
XM_021839293	LOC5574725
XM_021839296	LOC110674830
XM_021839295	LOC110674830
XM_021839297	LOC110674830
XM_021839294	LOC110674830
XM_021837557	LOC110674081
XM_021839298	LOC110674831
XR_002499232	LOC110674833
XM_021839299	LOC5579033
XR_002498815	LOC110674385
XR_002498816	LOC110674386
XM_021839300	LOC5579034
XM_001649008	LOC5564713
XM_001649009	LOC5564713
XM_021838653	LOC5563979
XM_001647527	LOC5579269
XR_002498817	LOC110674387
XM_021839302	LOC5564714
XM_011494940	LOC23687526
XM_021839307	LOC5573415
XM_021839303	LOC5573415
XM_021839304	LOC5573415
XM_021839306	LOC5573415
XM_021839305	LOC5573415
XM_021839308	LOC5571743
XM_021839311	LOC110674834
XM_021839310	LOC110674834
XM_021839309	LOC110674834
XR_002499234	LOC110674835
XR_002499233	LOC110674835
XM_021839317	LOC110674836
XM_021839315	LOC110674836
XM_021839318	LOC110674836
XM_021839314	LOC110674836
XM_021839313	LOC110674836
XM_021839316	LOC110674836
XM_021839319	LOC5577191
XM_021839320	LOC5577193
XM_021839321	LOC5577194
XM_021839322	LOC5577194
XM_021839323	LOC5577194
XM_021839327	LOC5564018
XM_021839328	LOC5564018
XM_021839330	LOC5564018
XM_021839326	LOC5564018
XM_021839325	LOC5564018
XM_021839329	LOC5564018
XM_021839331	LOC110674838
XM_021839332	LOC110674838
XM_021839333	LOC5579971
XM_001663376	LOC5577550
XM_001663375	LOC5577553
XM_001663374	LOC5577552
XR_002498818	LOC110674388
XM_021839340	LOC5572256
XM_021839341	LOC5572256
XM_021839339	LOC5572256
XM_021839342	LOC5572256
XM_021839336	LOC5572256
XM_021839337	LOC5572256
XM_021839335	LOC5572256
XM_021839338	LOC5572256
XM_021839343	LOC5565195
XM_021839346	LOC5565195
XM_021839345	LOC5565195
XR_002498819	LOC110674390
XM_021839347	LOC110674839
XM_001664171	LOC5579063
XR_002498820	LOC110674391
XM_021839348	LOC5563924
XM_021839349	LOC5563924
XR_002499235	LOC110674841
XR_002499237	LOC110674842
XM_021839350	LOC110674840
XR_002498821	LOC110674392
XM_021839352	LOC5569788
XM_021839351	LOC5569788
XM_021839353	LOC5569788
XR_002499238	LOC110674843
XR_002499239	LOC110674844
XR_002499240	LOC110674845
XR_002499241	LOC110674847
XM_021839355	LOC110674846
XM_021839356	LOC110674848
XR_002499242	LOC110674849
XM_021839357	LOC110674850
XM_021839358	LOC5569933
XM_021839362	LOC110674851
XM_021839361	LOC110674851
XM_021839360	LOC110674851
XM_021839364	LOC110674852
XM_021839365	LOC110674852
XM_021839363	LOC110674852
XM_021839366	LOC110674853
XM_021839367	LOC110674854
XM_021839369	LOC110674855
XM_021837852	LOC110674127
XM_021837869	LOC110674131
XR_002499244	LOC110674857
XR_002499245	LOC110674858
XR_002499243	LOC110674856
XR_002499246	LOC110674859
XM_021837870	LOC110674132
XR_002498822	LOC110674393
XM_021839370	LOC5566264
XR_002498823	LOC110674394
XM_021839371	LOC110674860
XM_001652955	LOC5569801
XM_021839373	LOC110674861
XM_021839374	LOC5569800
XM_021837931	LOC110674143
XR_002498825	LOC110674395
XM_021839375	LOC110674862
XR_002499247	LOC110674863
XM_001661230	LOC5574226
XR_002499248	LOC110674864
XM_021839377	LOC5571724
XM_021839381	LOC5571724
XM_021839382	LOC5571724
XM_021839376	LOC5571724
XM_021839380	LOC5571724
XM_021839379	LOC5571724
XR_002499249	LOC110674865
XM_021839384	LOC5571722
XM_021839383	LOC5571722
XM_021839386	LOC5571722
XM_021839385	LOC5571722
XR_002499250	LOC5571723
XM_021839388	LOC5571723
XM_021839389	LOC5571723
XM_021839390	LOC110674866
XM_001651109	LOC5566751
XM_021839408	LOC5578702
XM_021839406	LOC5578702
XM_021839404	LOC5578702
XM_021839401	LOC5578702
XM_021839400	LOC5578702
XM_021839410	LOC5578702
XM_021839407	LOC5578702
XM_021839402	LOC5578702
XM_021839403	LOC5578702
XM_021839411	LOC5578702
XM_021839396	LOC5578702
XM_021839395	LOC5578702
XM_021839393	LOC5578702
XM_021839399	LOC5578702
XM_021839391	LOC5578702
XM_021839392	LOC5578702
XM_021839397	LOC5578702
XM_021839398	LOC5578702
XM_021839409	LOC5578702
XR_002499251	LOC110674867
XR_002499252	LOC110674868
XM_021839413	LOC5573032
XM_001654299	LOC5573033
XM_001663958	LOC5578709
XM_001663957	LOC5578708
XM_001663956	LOC5578707
XM_021839414	LOC5578707
XM_021839415	LOC5578706
XR_002499253	LOC110674869
XM_021839416	LOC110674012
XM_001663953	LOC5578703
XM_021838654	LOC110674396
XR_002498826	LOC110674397
XM_001663952	LOC5578704
